,word,link,sentence,synonyms,synset
61,abstinence,sign/abstinence/7450/1,The girl practiced abstinence when it came to having sex before marriage.,"['ABSTAIN (as in ""to refrain from eating"")', 'FAST (as in ""to refrain from eating"")', 'FASTING (as in ""to refrain from eating"")']",Synset('abstinence.n.02')
62,abstract,sign/abstract/844/1,,[],
63,absurd,sign/absurd/845/1,Your idea is absurd!,"['FAKE (as in ""something created in your head; fantasy"")', 'NONSENSICAL', 'OUTRAGEOUS']",Synset('absurd.s.02')
64,absurd,sign/absurd/2910/1,The dog looked absurd in the clown outfit.,"['FLIPPANT', 'FOOLISH (as in ""silly"")', 'IDIOTIC', 'INANE', 'LUDICROUS', 'PREPOSTEROUS', 'RIDICULOUS', 'SILLY (as in ""very silly"")']",Synset('absurd.s.02')
65,abundance,sign/abundance/6207/1,There was a abundance of different fruits at the farmers' market.,"['ABUNDANT', 'BOUNTIFUL', 'PLENTIFUL', 'PLENTY']",Synset('abundance.n.03')
66,abundant,sign/abundant/2141/1,The harvest was very abundant this year.,"['ABUNDANCE', 'BOUNTIFUL', 'PLENTIFUL', 'PLENTY']",Synset('abundant.a.01')
67,abuse,sign/abuse/977/1,She was abused by her husband.,"['ATTACK (as in ""an offensive action"")', 'BEAT (as in ""to beat up"")', 'BEAT UP', 'HIT (as in ""it just so happened"")', 'VIOLENT']",Synset('abuse.v.04')
68,abuse,sign/abuse/8038/1,,['TAKE ADVANTAGE OF'],
69,ac,sign/ac/7989/1,"The heat is awful today, I need to turn on the air conditioner!","['AIR CONDITIONER', 'AIR CONDITIONING']",Synset('alternating_current.n.01')
70,academic+researcher,sign/academic+researcher/13926/1,Casey is an academic researcher.,[],
71,academy,sign/academy/13859/1,My children go to school at Southwestern Academy.,['SCHOOL'],Synset('academy.n.03')
72,academy+award,sign/academy+award/14077/1,Which actor has the most Academy awards?,[],
73,accelerate,sign/accelerate/6269/1,The roller coaster accelerated as it descended the first hill.,"['ABRUPT', 'FAST (as in ""quick"")', 'FASTER', 'FLASH (as in ""fast"")', 'IMMEDIATELY', 'NIMBLE', 'QUICK (as in ""fast"")', 'RAPID', 'RAPIDLY (as in ""fast"")', 'SPED (as in ""the verb to travel at great speed"")', 'SPEEDING', 'SPEEDY', 'SPONTANEOUS', 'SPONTANEOUSLY', 'STAT (as in ""quick"")', 'SUDDEN', 'SUDDENLY', 'SWIFT', 'SWIFTLY']",Synset('accelerate.v.02')
74,accent+symbol,sign/accent+symbol/14252/1,,['ACUTE ACCENT SYMBOL'],
75,accept,sign/accept/846/1,Does 7pm work?,"['ADOPT (as in ""accept"")', 'ADOPTION (as in ""to accept an idea or thought"")', 'APPROVAL (as in ""accept"")', 'APPROVE (as in ""accept"")', 'DOCILE', 'GET OVER IT', 'TAKE (as in ""to accept or take responsibility for something"")']",Synset('accept.v.07')
76,access,sign/access/9184/1,,"['ACCESSIBILITY', 'ACCESSIBLE', 'HANDICAP ACCESSIBLE']",
77,accessibility,sign/accessibility/14026/1,,"['ACCESS', 'ACCESSIBLE', 'HANDICAP ACCESSIBLE']",
78,accessible,sign/accessible/9218/1,Sean Forbes is a deaf hip‑hop artist who makes music accessible to the deaf community.,"['ACCESS', 'ACCESSIBILITY', 'HANDICAP ACCESSIBLE']",Synset('accessible.s.04')
79,accident,sign/accident/8003/1,Yesterday I accidentally left my bag in the grocery cart.,"['DEFECT', 'ERROR (as in ""mistake"")', 'FAULT (as in ""wrong"")', 'INCORRECT', 'MESS UP (as in ""to make a mistake"")', 'MISTAKE', 'OOPS', 'WRONG']",Synset('accident.n.02')
80,accident,sign/accident/847/1,I saw a bad car accident.,"['CAR ACCIDENT', 'COLLIDE (as in ""cars colliding"")', 'COLLIDE (as in ""two vehicles colliding"")', 'COLLISION', 'CRASH (as in ""a car crash"")', 'WRECK']",Synset('accident.n.02')
81,acclaim,sign/acclaim/901/1,The actress won acclaim for her performance.,"['ACCLAMATION', 'ACCOLADE', 'APPLAUD (as in ""to praise or clap"")', 'CLAP (as in ""action used to congratulate"")', 'COMMEND', 'COMPLIMENT', 'HOSANNA (as in ""an expression of praise"")', 'HURRAH', 'OVATION', 'PRAISE (as in ""to give praise"")']",Synset('applaud.v.01')
82,acclamation,sign/acclamation/2175/1,The audience was full of acclamation for the performers.,"['ACCLAIM', 'ACCOLADE', 'APPLAUD (as in ""to praise or clap"")', 'CLAP (as in ""action used to congratulate"")', 'COMMEND', 'COMPLIMENT', 'HOSANNA (as in ""an expression of praise"")', 'HURRAH', 'OVATION', 'PRAISE (as in ""to give praise"")']",Synset('acclaim.n.01')
83,accolade,sign/accolade/9602/1,,"['ACCLAIM', 'ACCLAMATION', 'APPLAUD (as in ""to praise or clap"")', 'CLAP (as in ""action used to congratulate"")', 'COMMEND', 'COMPLIMENT', 'HOSANNA (as in ""an expression of praise"")', 'HURRAH', 'OVATION', 'PRAISE (as in ""to give praise"")']",
84,accompany,sign/accompany/30/1,I would like to accompany you to the ball.,['GO WITH'],Synset('play_along.v.02')
85,accomplish,sign/accomplish/2670/1,The owner of the restaurant is a very accomplished businessman.,"['ACCOMPLISHMENT', 'ACHIEVE', 'ACHIEVEMENT', 'PRODUCTIVE (as in ""successful"")', 'SUCCEED', 'SUCCESS', 'SUCCESSFUL', 'TRIUMPH', 'TRIUMPHANT (as in ""the winner or victorious "")']",Synset('carry_through.v.01')
86,accomplishment,sign/accomplishment/2911/1,"Matt Hamill is a Deaf wrestler. He won three NCAA National Championships, a silver and gold medal in the Deaflympics, and there is a movie about his life called “The Hammer.”","['ACCOMPLISH', 'ACHIEVE', 'ACHIEVEMENT', 'PRODUCTIVE (as in ""successful"")', 'SUCCEED', 'SUCCESS', 'SUCCESSFUL', 'TRIUMPH', 'TRIUMPHANT (as in ""the winner or victorious "")']",Synset('skill.n.01')
87,according,sign/according/9541/1,,"['ADHERE', 'COMPLIANT (as in ""to follow or agree"")', 'FOLLOW (as in ""adhere to or track"")', 'PER (as in ""according to"")']",
88,accordion,sign/accordion/9063/1,,[],
89,account,sign/account/2912/1,,[],
90,account,sign/account/8360/1,,[],
91,accountant,sign/accountant/29/1,I need to meet with my accountant today.,[],Synset('accountant.n.01')
92,accounting,sign/accounting/7991/1,My fiance works in the accounting department.,"['ACCOUNT (as in ""any kind of account other than savings account"")', 'ACCOUNTANT', 'COUNTING', 'SCORING']",Synset('accounting.n.04')
93,accumlating,sign/accumlating/12001/1,,"['ACCUMULATE (as in ""to collect something"")', 'COLLECTING', 'COLLECTION', 'EARNING', 'GATHERING']",
94,accumulate,sign/accumulate/848/1,,"['AMASS (as in ""accumulate"")', 'INCREASE', 'INCREMENTAL']",
95,accumulate,sign/accumulate/9651/1,,"['INCOME', 'OFFER (as in ""a gift or contribution"")', 'REVENUE', 'SALARY', 'WAGE']",
96,accumulate,sign/accumulate/5162/1,How do you accumulate so much stuff?,"['COLLECT (as in ""gather up"")', 'COLLECTION', 'DESERVE', 'EARN', 'GATHER (as in ""to collect"")', 'INCOME', 'MERIT', 'REVENUE', 'SALARY', 'WAGE', 'WORTHY (as in ""important"")']",Synset('roll_up.v.02')
97,accurate,sign/accurate/2913/1,Your answer is correct.,"['CORRECT (as in ""accurate or right"")', 'RIGHT (as in ""correct"")', 'YOU ARE RIGHT']",Synset('accurate.s.02')
98,accurate,sign/accurate/2180/1,Is that an accurate price?  Or was that just an estimation?,"['EXACT', 'PRECISE', 'SPECIFIC']",Synset('accurate.s.02')
99,accuse,sign/accuse/8703/1,,"['FAULT (as in ""my fault"")']",
100,accuse,sign/accuse/6208/1,She accused him of eating her cake.,"['AT FAULT', 'BLAME (as in ""blame something"")', 'BLAME HER', 'BLAME HIM', 'BLAME IT', 'BLAME THEM', 'BLAME YOU', 'CHARGE (as in ""accuse someone of something"")', 'FAULT (as in ""blame or guilt"")', 'FAULT (as in ""your fault"")', 'IMPEACH (as in ""to accuse of misconduct"")']",Synset('charge.v.02')
101,accustomed+to,sign/accustomed+to/1442/1,I was very lonely when I first left for college because at home I had been accustomed to always being around my family.,"['CUSTOM', 'GET USED TO', 'HABIT (as in ""something done regularly"")', 'PREVAIL', 'TRADITION', 'USE (as in ""to get used to"")']",
102,ace,sign/ace/10758/1,,[],
103,ace+bandage,sign/ace+bandage/8041/1,,"['ACE WRAP', 'ELASTIC BANDAGE', 'WRAP (as in ""a bandage"")']",
104,ace+wrap,sign/ace+wrap/9733/1,,"['ACE BANDAGE', 'ELASTIC BANDAGE', 'WRAP (as in ""a bandage"")']",
105,ache,sign/ache/2018/1,I have a constant ache in my stomach.,"['AGONY', 'BANG UP (as in ""to get hurt"")', 'HARM', 'HURT', 'INJURE', 'INJURY', 'PAIN', 'SORE']",Synset('hurt.v.06')
106,achieve,sign/achieve/849/1,,"['ACCOMPLISH', 'ACCOMPLISHMENT', 'ACHIEVEMENT', 'PRODUCTIVE (as in ""successful"")', 'SUCCEED', 'SUCCESS', 'SUCCESSFUL', 'TRIUMPH', 'TRIUMPHANT (as in ""the winner or victorious "")']",
107,achievement,sign/achievement/2914/1,He has made great achievements as a businessman.,"['ACCOMPLISH', 'ACCOMPLISHMENT', 'ACHIEVE', 'PRODUCTIVE (as in ""successful"")', 'SUCCEED', 'SUCCESS', 'SUCCESSFUL', 'TRIUMPH', 'TRIUMPHANT (as in ""the winner or victorious "")']",Synset('accomplishment.n.01')
108,aching,sign/aching/10189/1,,"['HURTING', 'IN AGONY', 'IN PAIN', 'INJURY', 'PAINFUL']",
109,acid,sign/acid/5001/1,,[],
110,acid+rain,sign/acid+rain/6063/1,Pollution causes acid rain.,[],
111,acidic,sign/acidic/11318/1,,[],
112,acknowledge,sign/acknowledge/7390/1,He didn't know who I was but he acknowledged me by nodding towards me.,"['ALERT (as in ""to be aware"")', 'AWARE', 'AWARENESS', 'CONSCIOUS', 'FAMILIAR', 'INTELLIGENCE', 'KNOW', 'KNOWLEDGE', 'RECOGNIZE']",Synset('acknowledge.v.06')
113,acne,sign/acne/8045/1,When I was younger I had acne..,[],Synset('acne.n.01')
114,acorn,sign/acorn/4968/1,I am allergic to acorns.,[],Synset('acorn.n.01')
115,acquiesce,sign/acquiesce/1230/1,Matt acquiesced in the group decision.,"['AGREE', 'AGREEABLE (as in ""cheerful or willing to agree"")', 'AGREEMENT', 'COMPROMISE', 'COVENANT', 'IN ACCORD', 'IN AGREEMENT', 'MUTUAL (as in ""agreement"")', 'PACT']",Synset('assent.v.01')
116,acquire,sign/acquire/1394/1,,"['GET (as in ""receive"")', 'GOT (as in ""to receive"")', 'OBTAIN', 'RECEIVE', 'RETRIEVE']",
117,acquire,sign/acquire/2915/1,,['LEARN'],
118,acre,sign/acre/10134/1,,[],
119,acrobatic,sign/acrobatic/14284/1,The cheerleaders are very acrobatic.,[],Synset('acrobatic.s.01')
120,acrophobia,sign/acrophobia/8050/1,,[],
121,across,sign/across/850/1,,"['CROSS (as in ""to cross or go over something"")', 'OVER (as in ""across"")', 'PASS (as in ""to pass over something"")', 'PASS OVER']",
122,act,sign/act/2916/1,Linda Bove is a deaf actress. She played the role of Linda the librarian on Sesame Street for 31 years.,"['ACTOR', 'ACTRESS', 'DRAMA', 'ENTERTAIN', 'ENTERTAINMENT', 'PERFORM (as in ""acting in a play"")', 'PERFORMANCE', 'PLAY (as in ""entertainment, a show or drama"")', 'SHOW (as in ""entertainment, a play or drama"")', 'THEATER (as in ""a place for lectures, etc."")', 'THEATER (as in ""a play/show, the activity, subject, or profession"")']",Synset('act.v.05')
123,act,sign/act/2916/1,"Lou Ferrigno is hard of hearing and is a motivational speaker who shares his life experiences. He’s been in many movies and TV shows, but is most famous for playing The Incredible Hulk.","['ACTOR', 'ACTRESS', 'DRAMA', 'ENTERTAIN', 'ENTERTAINMENT', 'PERFORM (as in ""acting in a play"")', 'PERFORMANCE', 'PLAY (as in ""entertainment, a show or drama"")', 'SHOW (as in ""entertainment, a play or drama"")', 'THEATER (as in ""a place for lectures, etc."")', 'THEATER (as in ""a play/show, the activity, subject, or profession"")']",Synset('act.v.02')
124,act,sign/act/851/1,,"['ACTION', 'ACTIVE', 'ACTIVITY', 'CONDUCT (as in ""the act of doing"")', 'DEED (as in ""action performed intentially"")', 'DID', 'DO', 'DONE (as in ""the past tense of DO"")', 'EXECUTE (as in ""to do"")', 'PERFORM (as in ""to do"")', 'WORK (as in ""something done or made"")']",
125,action,sign/action/5817/1,Which action movies do you recommend?,"['ACT (as in ""to act a certain way"")', 'ACTIVE', 'ACTIVITY', 'CONDUCT (as in ""the act of doing"")', 'DEED (as in ""action performed intentially"")', 'DID', 'DO', 'DONE (as in ""the past tense of DO"")', 'EXECUTE (as in ""to do"")', 'PERFORM (as in ""to do"")', 'WORK (as in ""something done or made"")']",Synset('legal_action.n.01')
126,active,sign/active/877/1,I like to be active and not sit and watch TV all day.,[],Synset('active_voice.n.01')
127,active,sign/active/877/1,Alice Hagemeyer was a deaf librarian and active leader that established Deaf Awareness Week and Deaf History Month.,[],Synset('active_voice.n.01')
128,activist,sign/activist/14048/1,Macy is an activist.,[],Synset('militant.n.01')
129,activity,sign/activity/7993/1,,"['ACT (as in ""to act a certain way"")', 'ACTION', 'ACTIVE', 'CONDUCT (as in ""the act of doing"")', 'DEED (as in ""action performed intentially"")', 'DID', 'DO', 'DONE (as in ""the past tense of DO"")', 'EXECUTE (as in ""to do"")', 'PERFORM (as in ""to do"")', 'WORK (as in ""something done or made"")']",
130,actor,sign/actor/28/1,Sean Berdy is a deaf actor well known for acting on the TV series Switched at Birth.,"['ACTRESS', 'DRAMATIST', 'PERFORMER']",Synset('actor.n.02')
131,actor,sign/actor/28/1,Keith Wann is a CODA and well‑known ASL performer and comedian.,"['ACTRESS', 'DRAMATIST', 'PERFORMER']",Synset('actor.n.01')
132,actor,sign/actor/28/1,CJ Jones is a famous Deaf actor and comedian. He says “Anything is possible. Success has nothing to do with being deaf or black or any disability. It has to do with your passion to do greater things in life!”,"['ACTRESS', 'DRAMATIST', 'PERFORMER']",Synset('actor.n.02')
133,actor,sign/actor/28/1,Howie Seago is an deaf actor and director. He is famous for many roles including acting on Star Trek.,"['ACTRESS', 'DRAMATIST', 'PERFORMER']",Synset('actor.n.02')
134,actress,sign/actress/2917/1,,"['ACT (as in ""perform or acting in a play"")', 'ACTOR', 'DRAMA', 'ENTERTAIN', 'ENTERTAINMENT', 'PERFORM (as in ""acting in a play"")', 'PERFORMANCE', 'PLAY (as in ""entertainment, a show or drama"")', 'SHOW (as in ""entertainment, a play or drama"")', 'THEATER (as in ""a place for lectures, etc."")', 'THEATER (as in ""a play/show, the activity, subject, or profession"")']",
135,actual,sign/actual/2918/1,,"['ACTUALLY', 'AUTHENTIC', 'CERTAIN', 'CERTAINLY', 'DEFINITELY (as in ""for sure"")', 'FOR SURE', 'GENUINE', 'INDEED', 'NONFICTION', 'OF COURSE', 'REAL', 'REALLY (as in ""as in true"")', 'SINCERE (as in ""the truth"")', 'SURE', 'SURELY', 'TRUE', 'TRULY', 'TRUTH', 'VALID', 'VERILY (as in ""certainly or truly "")', 'VERY (as in ""really"")', 'VIRTUAL (as in ""nearly "")']",
136,actually,sign/actually/2919/1,,"['ACTUAL', 'AUTHENTIC', 'CERTAIN', 'CERTAINLY', 'DEFINITELY (as in ""for sure"")', 'FOR SURE', 'GENUINE', 'INDEED', 'NONFICTION', 'OF COURSE', 'REAL', 'REALLY (as in ""as in true"")', 'SINCERE (as in ""the truth"")', 'SURE', 'SURELY', 'TRUE', 'TRULY', 'TRUTH', 'VALID', 'VERILY (as in ""certainly or truly "")', 'VERY (as in ""really"")', 'VIRTUAL (as in ""nearly "")']",
137,actuary,sign/actuary/14479/1,"An actuary can make $100,000 a year.",[],Synset('statistician.n.02')
138,acupuncture,sign/acupuncture/8051/1,,[],
139,acute,sign/acute/8052/1,,[],
140,acute+accent+symbol,sign/acute+accent+symbol/14253/1,,['ACCENT SYMBOL'],
