,Unnamed: 0,word,link,sentence,synonyms,synset,fingerspelled,variations
11,11,a+lot,sign/a+lot/1780/1,We have a lot of pride in our community.,"['LOT (as in ""many"")', 'MANY', 'NUMEROUS', 'ONSLAUGHT', 'PLURAL', 'SCORES (as in ""a large quantity"")', 'TOO MANY']",,False,3
12,12,a+lot+more,sign/a+lot+more/8291/1,,"['ABOVE', 'EXCEED', 'EXCESS', 'MASSIVE', 'OVER (as in ""above"")', 'TOO MUCH']",,False,2
13,13,a+lot+of+attention,sign/a+lot+of+attention/12323/1,,"['SMOTHER (as in ""to emotionally smother"")']",,False,1
14,14,aa,sign/aa/6350/1,,"['AA (as in ""Associates Degree"")', 'ANN ARBOR (as in ""the city in Michigan"")', 'ASSOCIATES DEGREE']",,True,2
15,15,aa,sign/aa/10062/1,,['ASSOCIATES DEGREE'],,False,2
16,16,aaa,sign/aaa/10131/1,,[],,False,1
17,17,aaron,sign/aaron/10673/1,Aaron is my best friend.,[],Synset('aaron.n.02'),True,1
18,18,abandon,sign/abandon/2906/1,"It was sad, but I had to abandon my old car.","['CAST OFF', 'DISCARD', 'LEAVE (as in ""abandon and leave behind"")', 'LEFT (as in ""leave behind"")', 'LEFT (as in ""remain"")', 'LEFTOVER (as in ""things left"")', 'REMAIN (as in ""left"")']",Synset('abandon.v.01'),False,1
19,19,abashed,sign/abashed/13/1,I was so abashed about what I did.,"['ASHAMED', 'SHAME', 'SHAME ON YOU', 'SHAMED']",Synset('embarrass.v.01'),False,1
20,20,abbreviate,sign/abbreviate/1049/1,I'm in a hurry. Tell me the abbreviated version please!,"['ABBREVIATION', 'CONCISE', 'CONDENSE', 'IN A NUT SHELL', 'OUTLINE (as in ""summarize"")', 'POINT (as in ""concise or short"")', 'SHORTCUT (as in ""abbreviation"")', 'SUMMARIZE', 'SUMMARY', 'TRUNCATE (as in ""to shorten by cutting the end"")']",Synset('abridge.v.01'),False,1
21,21,abbreviation,sign/abbreviation/8803/1,,"['ABBREVIATE', 'CONCISE', 'CONDENSE', 'IN A NUT SHELL', 'OUTLINE (as in ""summarize"")', 'POINT (as in ""concise or short"")', 'SHORTCUT (as in ""abbreviation"")', 'SUMMARIZE', 'SUMMARY', 'TRUNCATE (as in ""to shorten by cutting the end"")']",,False,1
22,22,abby,sign/abby/10641/1,"Abby loves butterflies, monkeys and turtles.",[],,True,1
23,23,abc,sign/abc/10225/1,,"['ALPHABET', 'LETTER (as in ""a letter of the alphabet"")']",,False,1
24,24,abdomen,sign/abdomen/835/1,I'm doing sit‑ups so I have a flat abdomen.,"['BELLY', 'STOMACH', 'TUMMY']",Synset('abdominal_cavity.n.01'),False,2
25,25,abdominal+hernia,sign/abdominal+hernia/8026/1,,[],,True,2
26,26,abduct,sign/abduct/836/1,The girl was abducted from the park.,['KIDNAP'],Synset('kidnap.v.01'),False,4
27,27,abe,sign/abe/10733/1,Abe is my best friend.,[],,True,1
28,28,abigail,sign/abigail/10578/1,Abigail is my best friend.,[],,True,1
29,29,ability,sign/ability/5527/1,I have the ability to do well in school.,"['ABLE (as in ""being able to or can do something"")', 'AT-RISK (as in ""susceptible"")', 'CAPABLE (as in ""to be able or permitted to do something"")', 'MAYBE', 'PERHAPS', 'PLAUSIBLE', 'POSSIBILITY', 'POSSIBLE', 'POSSIBLY', 'POTENTIAL', 'PROBABILITY (as in ""statistical likelihood"")', 'PROBABLE']",Synset('ability.n.02'),False,2
30,30,ability,sign/ability/2907/1,She has the ability to teach others.,"['ABLE (as in ""skilled or proficient"")', 'ADEPT', 'AGILE', 'CAPABLE (as in ""skilled or proficient"")', 'EFFICIENT', 'EXPERT', 'EXPERTISE', 'HANDY', 'PROFICIENT', 'QUALIFICATION', 'QUALIFIED', 'QUALIFY (as in ""to be skilled"")', 'SAVVY', 'SKILL', 'TALENT']",Synset('ability.n.02'),False,2
31,31,ablaze,sign/ablaze/837/1,"When the firemen arrived, the whole house was ablaze.","['FIRE (as in ""something burning"")']",Synset('ablaze.s.02'),False,1
32,32,able,sign/able/838/1,He is able to do this.,"['ABILITY (as in ""capable or can do something"")', 'AT-RISK (as in ""susceptible"")', 'CAPABLE (as in ""to be able or permitted to do something"")', 'MAYBE', 'PERHAPS', 'PLAUSIBLE', 'POSSIBILITY', 'POSSIBLE', 'POSSIBLY', 'POTENTIAL', 'PROBABILITY (as in ""statistical likelihood"")', 'PROBABLE']",Synset('able.s.04'),False,2
33,33,able,sign/able/2908/1,Is she able to grow many flowers in the garden?,"['ABILITY (as in ""skilled, proficient, or good at"")', 'ADEPT', 'AGILE', 'CAPABLE (as in ""skilled or proficient"")', 'EFFICIENT', 'EXPERT', 'EXPERTISE', 'HANDY', 'PROFICIENT', 'QUALIFICATION', 'QUALIFIED', 'QUALIFY (as in ""to be skilled"")', 'SAVVY', 'SKILL', 'TALENT']",Synset('able.s.04'),False,2
34,34,able+to+walk,sign/able+to+walk/13702/1,,"['AMBULATORY (as in ""able to walk"")', 'CAN WALK']",,False,1
35,35,abnormal,sign/abnormal/8029/1,,[],,True,2
36,36,abolish,sign/abolish/1188/1,Slavery was abolished after the Civil War.,"['DELETE (as in ""perminently remove or discard"")', 'PURGE', 'REMOVE', 'UNINSTALL (as in ""removing software"")']",Synset('abolish.v.01'),False,1
37,37,about,sign/about/32/1,"Did you see the movie about the life of Kitty O’Neil, a deaf stuntwoman and racer?","['CONCERNING', 'REGARD (as in ""about or concerning"")']",Synset('approximately.r.01'),False,1
38,38,about,sign/about/32/1,I like to learn about a building's history.,"['CONCERNING', 'REGARD (as in ""about or concerning"")']",Synset('approximately.r.01'),False,1
39,39,about,sign/about/32/1,My uncle is very good at telling tales of his life on the farm.,"['CONCERNING', 'REGARD (as in ""about or concerning"")']",Synset('approximately.r.01'),False,1
40,40,about,sign/about/32/1,"Matt Hamill is a Deaf wrestler. He won three NCAA National Championships, a silver and gold medal in the Deaflympics, and there is a movie about his life called “The Hammer.”","['CONCERNING', 'REGARD (as in ""about or concerning"")']",Synset('approximately.r.01'),False,1
41,41,about,sign/about/32/1,We learn about Abraham Lincoln today in history class.,"['CONCERNING', 'REGARD (as in ""about or concerning"")']",Synset('approximately.r.01'),False,1
42,42,about,sign/about/32/1,CJ Jones is a famous Deaf actor and comedian. He says “Anything is possible. Success has nothing to do with being deaf or black or any disability. It has to do with your passion to do greater things in life!”,"['CONCERNING', 'REGARD (as in ""about or concerning"")']",Synset('about.r.07'),False,1
43,43,about,sign/about/32/1,The pharmacist answers questions about medications.,"['CONCERNING', 'REGARD (as in ""about or concerning"")']",Synset('approximately.r.01'),False,1
44,44,about,sign/about/32/1,"Lou Ferrigno is hard of hearing and is a motivational speaker who shares his life experiences. He’s been in many movies and TV shows, but is most famous for playing The Incredible Hulk.","['CONCERNING', 'REGARD (as in ""about or concerning"")']",Synset('about.r.06'),False,1
45,45,about,sign/about/9367/1,,"['APPROXIMATE', 'APPROXIMATELY (as in ""close to time"")', 'AROUND (as in ""about time"")', 'REGION', 'THEREABOUTS']",,False,1
46,46,about+time,sign/about+time/2909/1,It's about time I finished this project!,"['ACCOMPLISH', 'ACCOMPLISHMENT', 'ACHIEVE', 'ACHIEVEMENT', 'AT LAST', 'ATTAIN', 'FINALLY', 'PAH', 'PRODUCTIVE (as in ""successful"")', 'SUCCEED', 'SUCCESS', 'SUCCESSFUL', 'TRIUMPH', 'TRIUMPHANT (as in ""the winner or victorious "")', 'WORK (as in ""something finally worked"")']",,False,1
47,47,above,sign/above/841/1,His work is above his classmates.,"['A LOT MORE', 'EXCEED', 'EXCESS', 'MASSIVE', 'OVER (as in ""above"")', 'TOO MUCH']",Synset('above.s.01'),False,1
48,48,abraham,sign/abraham/10577/1,Abraham is my best friend.,[],Synset('abraham.n.01'),True,1
49,49,abraham,sign/abraham/7324/1,The Bible says that Abraham was the father of many nations.,[],Synset('abraham.n.01'),False,2
50,50,abraham+lincoln,sign/abraham+lincoln/6935/1,We learn about Abraham Lincoln today in history class.,"['LINCOLN (as in ""the capital city of Nebraska"")']",,False,2
51,51,abraham+lincoln,sign/abraham+lincoln/6935/1,In 1864 Abraham Lincoln approved Gallaudet College to award degrees.,"['LINCOLN (as in ""the capital city of Nebraska"")']",,False,2
52,52,abrasion,sign/abrasion/7992/1,,"['SCRATCH (as in ""to itch"")']",,False,1
53,53,abrasive,sign/abrasive/9744/1,,"['COARSE (as in ""rough"")', 'ROUGH']",,False,2
54,54,abrupt,sign/abrupt/5953/1,The man stopped abruptly.,"['ACCELERATE', 'FAST (as in ""quick"")', 'FASTER', 'FLASH (as in ""fast"")', 'IMMEDIATELY', 'NIMBLE', 'QUICK (as in ""fast"")', 'RAPID', 'RAPIDLY (as in ""fast"")', 'SPED (as in ""the verb to travel at great speed"")', 'SPEEDING', 'SPEEDY', 'SPONTANEOUS', 'SPONTANEOUSLY', 'STAT (as in ""quick"")', 'SUDDEN', 'SUDDENLY', 'SWIFT', 'SWIFTLY']",Synset('abrupt.s.02'),False,3
55,55,abscess,sign/abscess/8036/1,,[],,True,1
56,56,absence,sign/absence/8318/1,,"['ABSENT (as in ""being gone"")', 'GONE (as in ""absent"")', 'MISSING (as in ""absent"")', 'SKIP (as in ""absent"")']",,False,2
57,57,absent,sign/absent/842/1,She was absent from all her classes this week.,"['ABSENCE (as in ""being away"")', 'GONE (as in ""absent"")', 'MISSING (as in ""absent"")', 'SKIP (as in ""absent"")']",Synset('lacking.s.02'),False,2
58,58,absolution,sign/absolution/6233/1,An absolution is a formal release of guilt.,"['DISCHARGE', 'DISMISS', 'DISPENSATION', 'EXCUSE (as in ""to exempt"")', 'EXEMPT (as in ""to excuse"")', 'EXPEL', 'LAY OFF', 'LOOPHOLE', 'PARDON', 'REVOKE (as in ""to dismiss"")', 'WAIVE (as in ""dismissed"")']",Synset('absolution.n.02'),False,4
59,59,absorb,sign/absorb/843/1,The towel absorbed all the moisture.,[],Synset('steep.v.01'),False,1
60,60,abstain,sign/abstain/7449/1,,"['ABSTINENCE (as in ""to refrain from eating"")', 'FAST (as in ""to refrain from eating"")', 'FASTING (as in ""to refrain from eating"")']",,False,3
61,61,abstinence,sign/abstinence/7450/1,The girl practiced abstinence when it came to having sex before marriage.,"['ABSTAIN (as in ""to refrain from eating"")', 'FAST (as in ""to refrain from eating"")', 'FASTING (as in ""to refrain from eating"")']",Synset('abstinence.n.02'),False,3
62,62,abstract,sign/abstract/844/1,,[],,False,2
63,63,absurd,sign/absurd/845/1,Your idea is absurd!,"['FAKE (as in ""something created in your head; fantasy"")', 'NONSENSICAL', 'OUTRAGEOUS']",Synset('absurd.s.02'),False,1
64,64,absurd,sign/absurd/2910/1,The dog looked absurd in the clown outfit.,"['FLIPPANT', 'FOOLISH (as in ""silly"")', 'IDIOTIC', 'INANE', 'LUDICROUS', 'PREPOSTEROUS', 'RIDICULOUS', 'SILLY (as in ""very silly"")']",Synset('absurd.s.02'),False,1
65,65,abundance,sign/abundance/6207/1,There was a abundance of different fruits at the farmers' market.,"['ABUNDANT', 'BOUNTIFUL', 'PLENTIFUL', 'PLENTY']",Synset('abundance.n.03'),False,2
66,66,abundant,sign/abundant/2141/1,The harvest was very abundant this year.,"['ABUNDANCE', 'BOUNTIFUL', 'PLENTIFUL', 'PLENTY']",Synset('abundant.a.01'),False,2
67,67,abuse,sign/abuse/977/1,She was abused by her husband.,"['ATTACK (as in ""an offensive action"")', 'BEAT (as in ""to beat up"")', 'BEAT UP', 'HIT (as in ""it just so happened"")', 'VIOLENT']",Synset('abuse.v.04'),False,2
68,68,abuse,sign/abuse/8038/1,,['TAKE ADVANTAGE OF'],,False,2
69,69,ac,sign/ac/7989/1,"The heat is awful today, I need to turn on the air conditioner!","['AIR CONDITIONER', 'AIR CONDITIONING']",Synset('alternating_current.n.01'),False,1
70,70,academic+researcher,sign/academic+researcher/13926/1,Casey is an academic researcher.,[],,True,1
71,71,academy,sign/academy/13859/1,My children go to school at Southwestern Academy.,['SCHOOL'],Synset('academy.n.03'),False,1
72,72,academy+award,sign/academy+award/14077/1,Which actor has the most Academy awards?,[],,False,1
73,73,accelerate,sign/accelerate/6269/1,The roller coaster accelerated as it descended the first hill.,"['ABRUPT', 'FAST (as in ""quick"")', 'FASTER', 'FLASH (as in ""fast"")', 'IMMEDIATELY', 'NIMBLE', 'QUICK (as in ""fast"")', 'RAPID', 'RAPIDLY (as in ""fast"")', 'SPED (as in ""the verb to travel at great speed"")', 'SPEEDING', 'SPEEDY', 'SPONTANEOUS', 'SPONTANEOUSLY', 'STAT (as in ""quick"")', 'SUDDEN', 'SUDDENLY', 'SWIFT', 'SWIFTLY']",Synset('accelerate.v.02'),False,2
74,74,accent+symbol,sign/accent+symbol/14252/1,,['ACUTE ACCENT SYMBOL'],,False,6
75,75,accept,sign/accept/846/1,Does 7pm work?,"['ADOPT (as in ""accept"")', 'ADOPTION (as in ""to accept an idea or thought"")', 'APPROVAL (as in ""accept"")', 'APPROVE (as in ""accept"")', 'DOCILE', 'GET OVER IT', 'TAKE (as in ""to accept or take responsibility for something"")']",Synset('accept.v.07'),False,2
76,76,access,sign/access/9184/1,,"['ACCESSIBILITY', 'ACCESSIBLE', 'HANDICAP ACCESSIBLE']",,False,1
77,77,accessibility,sign/accessibility/14026/1,,"['ACCESS', 'ACCESSIBLE', 'HANDICAP ACCESSIBLE']",,False,1
78,78,accessible,sign/accessible/9218/1,Sean Forbes is a deaf hip‑hop artist who makes music accessible to the deaf community.,"['ACCESS', 'ACCESSIBILITY', 'HANDICAP ACCESSIBLE']",Synset('accessible.s.04'),False,1
79,79,accident,sign/accident/8003/1,Yesterday I accidentally left my bag in the grocery cart.,"['DEFECT', 'ERROR (as in ""mistake"")', 'FAULT (as in ""wrong"")', 'INCORRECT', 'MESS UP (as in ""to make a mistake"")', 'MISTAKE', 'OOPS', 'WRONG']",Synset('accident.n.02'),False,3
80,80,accident,sign/accident/847/1,I saw a bad car accident.,"['CAR ACCIDENT', 'COLLIDE (as in ""cars colliding"")', 'COLLIDE (as in ""two vehicles colliding"")', 'COLLISION', 'CRASH (as in ""a car crash"")', 'WRECK']",Synset('accident.n.02'),False,2
81,81,acclaim,sign/acclaim/901/1,The actress won acclaim for her performance.,"['ACCLAMATION', 'ACCOLADE', 'APPLAUD (as in ""to praise or clap"")', 'CLAP (as in ""action used to congratulate"")', 'COMMEND', 'COMPLIMENT', 'HOSANNA (as in ""an expression of praise"")', 'HURRAH', 'OVATION', 'PRAISE (as in ""to give praise"")']",Synset('applaud.v.01'),False,1
82,82,acclamation,sign/acclamation/2175/1,The audience was full of acclamation for the performers.,"['ACCLAIM', 'ACCOLADE', 'APPLAUD (as in ""to praise or clap"")', 'CLAP (as in ""action used to congratulate"")', 'COMMEND', 'COMPLIMENT', 'HOSANNA (as in ""an expression of praise"")', 'HURRAH', 'OVATION', 'PRAISE (as in ""to give praise"")']",Synset('acclaim.n.01'),False,1
83,83,accolade,sign/accolade/9602/1,,"['ACCLAIM', 'ACCLAMATION', 'APPLAUD (as in ""to praise or clap"")', 'CLAP (as in ""action used to congratulate"")', 'COMMEND', 'COMPLIMENT', 'HOSANNA (as in ""an expression of praise"")', 'HURRAH', 'OVATION', 'PRAISE (as in ""to give praise"")']",,False,1
84,84,accompany,sign/accompany/30/1,I would like to accompany you to the ball.,['GO WITH'],Synset('play_along.v.02'),False,2
85,85,accomplish,sign/accomplish/2670/1,The owner of the restaurant is a very accomplished businessman.,"['ACCOMPLISHMENT', 'ACHIEVE', 'ACHIEVEMENT', 'PRODUCTIVE (as in ""successful"")', 'SUCCEED', 'SUCCESS', 'SUCCESSFUL', 'TRIUMPH', 'TRIUMPHANT (as in ""the winner or victorious "")']",Synset('carry_through.v.01'),False,5
86,86,accomplishment,sign/accomplishment/2911/1,"Matt Hamill is a Deaf wrestler. He won three NCAA National Championships, a silver and gold medal in the Deaflympics, and there is a movie about his life called “The Hammer.”","['ACCOMPLISH', 'ACHIEVE', 'ACHIEVEMENT', 'PRODUCTIVE (as in ""successful"")', 'SUCCEED', 'SUCCESS', 'SUCCESSFUL', 'TRIUMPH', 'TRIUMPHANT (as in ""the winner or victorious "")']",Synset('skill.n.01'),False,2
87,87,according,sign/according/9541/1,,"['ADHERE', 'COMPLIANT (as in ""to follow or agree"")', 'FOLLOW (as in ""adhere to or track"")', 'PER (as in ""according to"")']",,False,1
88,88,accordion,sign/accordion/9063/1,,[],,True,2
89,89,account,sign/account/2912/1,,[],,True,3
90,90,account,sign/account/8360/1,,[],,False,1
91,91,accountant,sign/accountant/29/1,I need to meet with my accountant today.,[],Synset('accountant.n.01'),False,2
92,92,accounting,sign/accounting/7991/1,My fiance works in the accounting department.,"['ACCOUNT (as in ""any kind of account other than savings account"")', 'ACCOUNTANT', 'COUNTING', 'SCORING']",Synset('accounting.n.04'),False,1
93,93,accumlating,sign/accumlating/12001/1,,"['ACCUMULATE (as in ""to collect something"")', 'COLLECTING', 'COLLECTION', 'EARNING', 'GATHERING']",,False,1
94,94,accumulate,sign/accumulate/848/1,,"['AMASS (as in ""accumulate"")', 'INCREASE', 'INCREMENTAL']",,False,3
95,95,accumulate,sign/accumulate/9651/1,,"['INCOME', 'OFFER (as in ""a gift or contribution"")', 'REVENUE', 'SALARY', 'WAGE']",,False,1
96,96,accumulate,sign/accumulate/5162/1,How do you accumulate so much stuff?,"['COLLECT (as in ""gather up"")', 'COLLECTION', 'DESERVE', 'EARN', 'GATHER (as in ""to collect"")', 'INCOME', 'MERIT', 'REVENUE', 'SALARY', 'WAGE', 'WORTHY (as in ""important"")']",Synset('roll_up.v.02'),False,2
97,97,accurate,sign/accurate/2913/1,Your answer is correct.,"['CORRECT (as in ""accurate or right"")', 'RIGHT (as in ""correct"")', 'YOU ARE RIGHT']",Synset('accurate.s.02'),False,1
98,98,accurate,sign/accurate/2180/1,Is that an accurate price?  Or was that just an estimation?,"['EXACT', 'PRECISE', 'SPECIFIC']",Synset('accurate.s.02'),False,1
99,99,accuse,sign/accuse/8703/1,,"['FAULT (as in ""my fault"")']",,False,2
100,100,accuse,sign/accuse/6208/1,She accused him of eating her cake.,"['AT FAULT', 'BLAME (as in ""blame something"")', 'BLAME HER', 'BLAME HIM', 'BLAME IT', 'BLAME THEM', 'BLAME YOU', 'CHARGE (as in ""accuse someone of something"")', 'FAULT (as in ""blame or guilt"")', 'FAULT (as in ""your fault"")', 'IMPEACH (as in ""to accuse of misconduct"")']",Synset('charge.v.02'),False,1
101,101,accustomed+to,sign/accustomed+to/1442/1,I was very lonely when I first left for college because at home I had been accustomed to always being around my family.,"['CUSTOM', 'GET USED TO', 'HABIT (as in ""something done regularly"")', 'PREVAIL', 'TRADITION', 'USE (as in ""to get used to"")']",,False,2
102,102,ace,sign/ace/10758/1,,[],,True,1
103,103,ace+bandage,sign/ace+bandage/8041/1,,"['ACE WRAP', 'ELASTIC BANDAGE', 'WRAP (as in ""a bandage"")']",,False,1
104,104,ace+wrap,sign/ace+wrap/9733/1,,"['ACE BANDAGE', 'ELASTIC BANDAGE', 'WRAP (as in ""a bandage"")']",,False,1
105,105,ache,sign/ache/2018/1,I have a constant ache in my stomach.,"['AGONY', 'BANG UP (as in ""to get hurt"")', 'HARM', 'HURT', 'INJURE', 'INJURY', 'PAIN', 'SORE']",Synset('hurt.v.06'),False,3
106,106,achieve,sign/achieve/849/1,,"['ACCOMPLISH', 'ACCOMPLISHMENT', 'ACHIEVEMENT', 'PRODUCTIVE (as in ""successful"")', 'SUCCEED', 'SUCCESS', 'SUCCESSFUL', 'TRIUMPH', 'TRIUMPHANT (as in ""the winner or victorious "")']",,False,2
107,107,achievement,sign/achievement/2914/1,He has made great achievements as a businessman.,"['ACCOMPLISH', 'ACCOMPLISHMENT', 'ACHIEVE', 'PRODUCTIVE (as in ""successful"")', 'SUCCEED', 'SUCCESS', 'SUCCESSFUL', 'TRIUMPH', 'TRIUMPHANT (as in ""the winner or victorious "")']",Synset('accomplishment.n.01'),False,2
108,108,aching,sign/aching/10189/1,,"['HURTING', 'IN AGONY', 'IN PAIN', 'INJURY', 'PAINFUL']",,False,3
109,109,acid,sign/acid/5001/1,,[],,True,3
110,110,acid+rain,sign/acid+rain/6063/1,Pollution causes acid rain.,[],,False,1
111,111,acidic,sign/acidic/11318/1,,[],,True,3
112,112,acknowledge,sign/acknowledge/7390/1,He didn't know who I was but he acknowledged me by nodding towards me.,"['ALERT (as in ""to be aware"")', 'AWARE', 'AWARENESS', 'CONSCIOUS', 'FAMILIAR', 'INTELLIGENCE', 'KNOW', 'KNOWLEDGE', 'RECOGNIZE']",Synset('acknowledge.v.06'),False,2
113,113,acne,sign/acne/8045/1,When I was younger I had acne..,[],Synset('acne.n.01'),True,5
114,114,acorn,sign/acorn/4968/1,I am allergic to acorns.,[],Synset('acorn.n.01'),True,1
115,115,acquiesce,sign/acquiesce/1230/1,Matt acquiesced in the group decision.,"['AGREE', 'AGREEABLE (as in ""cheerful or willing to agree"")', 'AGREEMENT', 'COMPROMISE', 'COVENANT', 'IN ACCORD', 'IN AGREEMENT', 'MUTUAL (as in ""agreement"")', 'PACT']",Synset('assent.v.01'),False,5
116,116,acquire,sign/acquire/1394/1,,"['GET (as in ""receive"")', 'GOT (as in ""to receive"")', 'OBTAIN', 'RECEIVE', 'RETRIEVE']",,False,1
117,117,acquire,sign/acquire/2915/1,,['LEARN'],,False,1
118,118,acre,sign/acre/10134/1,,[],,True,1
119,119,acrobatic,sign/acrobatic/14284/1,The cheerleaders are very acrobatic.,[],Synset('acrobatic.s.01'),True,3
120,120,acrophobia,sign/acrophobia/8050/1,,[],,True,2
121,121,across,sign/across/850/1,,"['CROSS (as in ""to cross or go over something"")', 'OVER (as in ""across"")', 'PASS (as in ""to pass over something"")', 'PASS OVER']",,False,1
122,122,act,sign/act/2916/1,Linda Bove is a deaf actress. She played the role of Linda the librarian on Sesame Street for 31 years.,"['ACTOR', 'ACTRESS', 'DRAMA', 'ENTERTAIN', 'ENTERTAINMENT', 'PERFORM (as in ""acting in a play"")', 'PERFORMANCE', 'PLAY (as in ""entertainment, a show or drama"")', 'SHOW (as in ""entertainment, a play or drama"")', 'THEATER (as in ""a place for lectures, etc."")', 'THEATER (as in ""a play/show, the activity, subject, or profession"")']",Synset('act.v.05'),False,2
123,123,act,sign/act/2916/1,"Lou Ferrigno is hard of hearing and is a motivational speaker who shares his life experiences. He’s been in many movies and TV shows, but is most famous for playing The Incredible Hulk.","['ACTOR', 'ACTRESS', 'DRAMA', 'ENTERTAIN', 'ENTERTAINMENT', 'PERFORM (as in ""acting in a play"")', 'PERFORMANCE', 'PLAY (as in ""entertainment, a show or drama"")', 'SHOW (as in ""entertainment, a play or drama"")', 'THEATER (as in ""a place for lectures, etc."")', 'THEATER (as in ""a play/show, the activity, subject, or profession"")']",Synset('act.v.02'),False,2
124,124,act,sign/act/851/1,,"['ACTION', 'ACTIVE', 'ACTIVITY', 'CONDUCT (as in ""the act of doing"")', 'DEED (as in ""action performed intentially"")', 'DID', 'DO', 'DONE (as in ""the past tense of DO"")', 'EXECUTE (as in ""to do"")', 'PERFORM (as in ""to do"")', 'WORK (as in ""something done or made"")']",,False,1
125,125,action,sign/action/5817/1,Which action movies do you recommend?,"['ACT (as in ""to act a certain way"")', 'ACTIVE', 'ACTIVITY', 'CONDUCT (as in ""the act of doing"")', 'DEED (as in ""action performed intentially"")', 'DID', 'DO', 'DONE (as in ""the past tense of DO"")', 'EXECUTE (as in ""to do"")', 'PERFORM (as in ""to do"")', 'WORK (as in ""something done or made"")']",Synset('legal_action.n.01'),False,2
126,126,active,sign/active/877/1,I like to be active and not sit and watch TV all day.,[],Synset('active_voice.n.01'),False,2
127,127,active,sign/active/877/1,Alice Hagemeyer was a deaf librarian and active leader that established Deaf Awareness Week and Deaf History Month.,[],Synset('active_voice.n.01'),False,2
128,128,activist,sign/activist/14048/1,Macy is an activist.,[],Synset('militant.n.01'),False,3
129,129,activity,sign/activity/7993/1,,"['ACT (as in ""to act a certain way"")', 'ACTION', 'ACTIVE', 'CONDUCT (as in ""the act of doing"")', 'DEED (as in ""action performed intentially"")', 'DID', 'DO', 'DONE (as in ""the past tense of DO"")', 'EXECUTE (as in ""to do"")', 'PERFORM (as in ""to do"")', 'WORK (as in ""something done or made"")']",,False,1
130,130,actor,sign/actor/28/1,Sean Berdy is a deaf actor well known for acting on the TV series Switched at Birth.,"['ACTRESS', 'DRAMATIST', 'PERFORMER']",Synset('actor.n.02'),False,2
131,131,actor,sign/actor/28/1,Keith Wann is a CODA and well‑known ASL performer and comedian.,"['ACTRESS', 'DRAMATIST', 'PERFORMER']",Synset('actor.n.01'),False,2
132,132,actor,sign/actor/28/1,CJ Jones is a famous Deaf actor and comedian. He says “Anything is possible. Success has nothing to do with being deaf or black or any disability. It has to do with your passion to do greater things in life!”,"['ACTRESS', 'DRAMATIST', 'PERFORMER']",Synset('actor.n.02'),False,2
133,133,actor,sign/actor/28/1,Howie Seago is an deaf actor and director. He is famous for many roles including acting on Star Trek.,"['ACTRESS', 'DRAMATIST', 'PERFORMER']",Synset('actor.n.02'),False,2
134,134,actress,sign/actress/2917/1,,"['ACT (as in ""perform or acting in a play"")', 'ACTOR', 'DRAMA', 'ENTERTAIN', 'ENTERTAINMENT', 'PERFORM (as in ""acting in a play"")', 'PERFORMANCE', 'PLAY (as in ""entertainment, a show or drama"")', 'SHOW (as in ""entertainment, a play or drama"")', 'THEATER (as in ""a place for lectures, etc."")', 'THEATER (as in ""a play/show, the activity, subject, or profession"")']",,False,2
